Event	ID	Name			Wwise Object Path	Notes
	243379636	Reflect			\Plugins\Plugins\Reflect	
	480515238	SoundSeed_Impact			\Plugins\Plugins\SoundSeed_Impact	
	623594218	SoundSeed_Wind			\Plugins\Plugins\SoundSeed_Wind	
	2209794929	Motion_Source			\Plugins\Plugins\Motion_Source	
	2297584640	Motion_Aux			\Plugins\Plugins\Motion_Aux	
	3260090173	Convolution			\Plugins\Plugins\Convolution	
	3404211905	SoundSeed_Grain			\Plugins\Plugins\SoundSeed_Grain	

Modulator Envelope	ID	Name			Wwise Object Path	Notes
	207084865	Modulator Envelope (Custom)				

Modulator Time	ID	Name			Wwise Object Path	Notes
	142843164	New Modulator Time (Custom)				

Audio Bus	ID	Name			Wwise Object Path	Notes
	431572087	Master Plugins			\Plugins\Master Plugins	
	985987111	Motion Factory Bus			\Plugins\Motion Factory Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	1692308750	ReflectAux			\Plugins\Master Plugins\ReflectAux	
	2297584640	Motion_Aux			\Plugins\Motion Factory Bus\Motion_Aux	

Effect plug-ins	ID	Name	Type				Notes
	152884559	Space_Ship_Stereo_(Custom)	Wwise Convolution Reverb			Impulse response created by Pinguin ing.büro © 2010 Pinguin ing.büro.  All rights reserved. IR Pre-delay: 7ms  
	750892401	Wwise_Reflect_(Custom)	Wwise Reflect			
	1041325803	SoundSeed_Impact_(Custom)	SoundSeed Impact			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	25868842	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Wind Ambiences\Polar Winds\SoundSeed Air Wind	
	39885879	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Arrows\Arrow\SoundSeed Air Woosh	
	45385959	SoundSeed Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Static Presets (wave file substitutions)\Golf Club\SoundSeed Woosh	
	60142098	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Vehicles\Airplane\Rumble\SoundSeed Air Wind	
	60410286	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Plugins\Factory SoundSeed Air Objects\Game Driven Presets\Weapons\Arrows\Silence\Wwise Silence	
